group_id,codes
00,"006.8,008.8"
01,"010.03,010.05,010.06,011.24,011.25,011.50,013.00,013.43,013.5,013.52,015,015.12,015.20,015.66,015.76,016.05,016.96,017.10,017.40,017.8,018.06"
04,"041.9,046.8"
05,"054.9,056.09"
07,"070.32,072.0,072.2,072.71"
08,"081.2,083.2,084.8"
09,"091.6,091.69,093.23,094.8,094.84,098.34,099.50"
11,112
12,"120.1,121.0,126.8"
13,"130.1,131.0,132.0"
14,145.6
15,"150.9,151.1,151.2,152.9"
16,"162.3,163.0,164.1,164.2"
17,"172.1,172.5,174.8,174.9"
18,"188.1,188.6"
19,"191.0,195.3,196.1"
20,"201.92,202.21,202.6,202.63,202.82,205.1,205.20,205.3,208.91"
21,"214.3,217,218,218.0"
22,"221.9,225.9,227.1"
23,"232,232.1,233,236.6,238.9"
24,"242.10,242.81"
25,"250.11,250.50,250.52,251.5,253.8,258.8"
26,"265.0,268.0"
27,"270.1,270.2,272.3,279.00,279.19"
28,"286,286.1,288,289.50"
29,"290.11,290.2,293.82,293.89,295.04,295.51,295.54,295.81,295.9,298.0,298.2,298.3,299.0"
30,"300.00,300.81,301.13,301.84,302.72,305.3,305.53,307.46,307.81,308.4,309.22"
31,"312.1,315.2"
33,"331.1,331.9,335.21,335.23,335.24,336.2"
35,"355.5,356.4,357.5,357.8,359.5"
36,"360.1,361.14,361.31,362.37,362.71,363.50,363.72,364.02,364.3,364.63,364.71,365.01,365.15,365.41,365.65,366.43,366.46,368.14,368.47,369.0,369.01,369.65,369.72"
37,"370.4,371,371.24,371.44,371.5,371.55,372.40,372.74,374.02,374.1,375.13,375.31,375.5,375.53,376.31,376.6,378.17,378.31,378.54,378.6,378.7,379.04"
38,"380.00,380.14,380.23,381,381.81,383.3,384.82,385.02,386.52,386.9,388.01,389.03"
39,"396.0,397.9"
40,"401.0,402.91,403.01,405.99"
41,"410.0,410.02,410.60,413"
42,"422.91,422.99,426.81,427.1,429"
43,"430,432.9,434.90,434.91"
44,"440.23,446.3"
45,"451.9,459.2"
46,"460,464.2,465.0"
47,"474.00,478,478.0"
48,"482.1,482.84,484.6,484.8"
49,"491.8,493.10"
50,506.3
51,517
52,"520.4,521.0,521.7,524.02"
53,"530.83,531.40,531.51,533.60,534.01,534.61,536.2,537.5"
54,542
55,"550.02,552.0,558.1"
56,"560.81,562.00,562.01,564.2,567.0,567.8,569.81"
57,"574,574.00,574.30,574.61,574.71,578.0,578.9"
58,"581.3,583.9,584.9"
59,"595.81,597.89"
60,"600,603.8,608.8"
61,"610.8,611.1,618.6,619.8"
62,"620.5,623.2,623.7,624.4,628.2"
63,"634.4,636.80,637.3"
64,"641.1,641.81,642.12,642.13,642.2,642.34,642.93,643.20,643.83,646.42,646.8,647.52,648.53"
65,"651.1,652.11,653.50,653.7,655.43,655.8,656.31,656.4,656.63,657.00,658.9,659.11,659.3"
66,"660.00,660.80,661.2,663.01,663.41,664.04,664.41,664.91,666.04,667.1,669.7"
67,"671.03,671.1,671.40,671.90,676.13,676.4"
68,686.8
69,"692.9,694.1,695.1,695.3,698.9"
70,707.12
71,"711.04,711.11,711.14,711.31,711.99,712.34,712.95,715.2,716.14,718.30,718.37,718.75,718.83,718.94,719.08,719.60,719.86"
72,"720.89,720.9,721.6,723.3,723.6,726.2,726.72,727.1,727.2,727.5,727.62,728.3,728.81,729.5"
73,"731.2,732.3,733.44,733.91,736.22,738.7"
74,"742.2,742.4,743.48,743.5,743.69,743.8,744.05,744.29,745.3,745.8,746.6,747.20,747.21,747.22,747.29,747.41,747.62,749,749.20,749.23"
75,"750.29,750.4,750.7,753.10,754,755.3,755.55,755.62,755.64,756.11,756.17,756.9,759.0"
76,"760.71,764.1,764.26,764.90,764.91,765.15,768.2"
77,"770.2,775.3,775.6,777.1"
78,"781.3,781.7,782.4,785.0,788.7,789.0,789.09,789.30,789.35,789.47,789.69"
79,"790.6,793.5,793.7,794.10,795.7"
80,"800.64,801.02,801.03,801.89,803.14,803.19,803.44,803.46,803.72,803.84,804.33,804.46,805,805.03,805.18,805.5,805.8,806.16,807.08,807.10"
81,"811.0,811.00,812.20,812.42,813.21,813.8,813.83,817"
82,"821.3,822.0,823.2,823.8"
83,"831.02,832.14,833.19,834.02,836.3,838,839.13,839.3"
84,845.01
85,"851.06,851.14,851.81,851.82,851.86,854.04"
86,"862.3,865.00,865.11,866.00"
87,"871.5,872.73,872.9,873.30,873.49,873.62,873.63,873.75,879.0"
88,885.0
89,"891.2,895.1"
90,"900.02,901.8,902.49,907.5"
91,"910.9,911.5,912.7,914.9,915.4"
92,"922.32,923.3,927.02"
94,"941.04,941.12,941.24,941.27,942.00,942.12,944.17,944.21,944.26,944.30,944.31,944.33,944.43,944.50,945,945.1,945.16,945.40,948.94,949.5"
95,"950.0,952.01,952.02,955.7,958.5"
96,"961.3,964.3,967.0,969.3"
98,985
99,"991,991.0,995.67,995.8,996.61,998.81"
E8,"E80.5,E80.51,E80.6,E81.11,E81.61,E82.08,E82.21,E82.29,E82.72,E82.8,E83.20,E83.22,E83.4,E83.72,E84.45,E85.28,E85.38,E85.53,E85.85,E87.10,E87.26,E87.40,E87.44,E87.49,E89.01,E89.38"
E9,"E90.6,E91.01,E91.98,E92.51,E92.80,E92.99,E94.44,E94.53,E94.94,E95.07,E95.59,E96.3,E96.56,E96.71,E98.71,E99.00,E99.4"
V0,"V03.89,V07.3,V07.9"
V1,"V10.11,V10.9,V14.8,V16.6,V16.7,V19.3"
V2,"V21.9,V23.4,V23.8,V25.09"
V3,"V32,V33,V34"
V4,"V42.4,V42.8,V45.6,V45.69,V46"
V5,"V52.1,V56.1,V57.9,V58.0,V58.3,V59.0,V59.8"
V6,"V60.1,V62,V67.59,V68.2"
V7,"V71.1,V71.8,V73,V75.3,V76.2,V76.52,V77.0"
V8,"V81.6,V82,V82.3,V83.01"
